time	vrad	svrad
----	----	-----
57395.856817	7.33907	0.00814
57396.825565	7.34809	0.00327
57397.808098	7.34618	0.00331
57398.835114	7.34887	0.00306
57399.837115	7.34337	0.00692
57401.855826	7.34073	0.00234
57402.852847	7.34559	0.00306
57403.859695	7.34491	0.00312
57404.869077	7.35492	0.00462
57405.831625	7.35267	0.00294
57406.841965	7.33329	0.00742
57407.834375	7.32922	0.00376
57417.835007	7.32287	0.00382
57418.831317	7.33414	0.00388
57420.824188	7.36580	0.00252
57421.826848	7.35651	0.00266
57422.840701	7.35539	0.00308
57423.803576	7.26399	0.02357
57424.823584	7.32570	0.00274
57425.816794	7.32115	0.00313
57427.819531	7.32893	0.00301
57428.774818	7.34283	0.00352
57429.770431	7.34759	0.00567
57431.825948	7.32943	0.00289
57432.770072	7.32457	0.00270
57434.769513	7.32089	0.00477
