time	vrad	svrad
----	----	-----
57050.85856      -0.00888       0.00519
57051.81505      -0.01546       0.00342
57052.86521      -0.02996       0.00476
57054.81634       0.00096       0.00652
57055.85049       0.00382       0.00455
57061.70681       0.02063       0.00677
57061.79848       0.01755       0.00450
57061.81294       0.03088       0.00505
57062.77601       0.00673       0.00457
57062.79007       0.01398       0.00442
57062.80443       0.01052       0.00510
57064.76307       0.00889       0.00415
57064.77760       0.01762       0.00427
57064.79190       0.03078       0.00492
57065.76985       0.03343       0.00499
57065.78424       0.02395       0.00494
57065.79889       0.03089       0.00483
57066.75799       0.02622       0.00542
57066.77275       0.03065       0.00615
57066.78723       0.00493       0.00764
57067.76192      -0.01004       0.00516
57067.77624      -0.02225       0.00554
57067.79082      -0.00095       0.00519
57068.76326       0.01488       0.00504
57068.77757       0.00266       0.00519
57068.79244      -0.00631       0.00514
57069.76793      -0.02329       0.00511
57069.78244      -0.01148       0.00513
57069.79654      -0.01298       0.00501
57118.65185      -0.01328       0.00409
57118.66628      -0.00110       0.00478
57118.68049       0.00000       0.00424
57119.65552      -0.01047       0.00385
57119.67002      -0.00798       0.00389
57119.68417       0.01092       0.00436
57120.63937       0.00603       0.00372
57120.65355       0.00785       0.00547
57121.62451       0.00024       0.00429
57121.63942       0.00899       0.00382
57121.65395       0.01960       0.00388
57122.62934       0.00610       0.00534
57122.64080      -0.01670       0.00484
57122.65206      -0.00675       0.00511
57123.63854      -0.01607       0.00556
57123.66345       0.00463       0.00612
57123.67839      -0.00518       0.00588
57124.67522      -0.02164       0.00847
57198.47072      -0.01079       0.00513
57198.52715      -0.00669       0.00453
57199.51333      -0.01531       0.00449
57199.52804      -0.00128       0.00521
57200.52892      -0.00933       0.00514
57200.54451       0.01003       0.00779
57203.52075      -0.02966       0.00543
57203.53537      -0.04719       0.00668
57204.49376      -0.00584       0.00448
57204.50816      -0.02038       0.00480
57205.50352      -0.02085       0.00469
57205.51810      -0.00542       0.00448
57206.49605       0.01104       0.00413
57206.50796       0.01019       0.00449
