jdb	vrad	svrad
---	----	-----
54775.819119 32.55 2.20
54776.758450 29.25 2.80
54777.761675 26.15 2.00
54778.754586 17.85 1.60
54779.750679 19.45 2.20
54780.754792 24.95 2.60
54789.829872 32.25 1.60
54790.802989 35.85 2.10
54791.810991 43.45 1.90
54792.809988 37.75 1.80
54793.827734 29.95 1.80
54794.800626 34.55 1.70
54795.809029 27.95 2.20
54796.836494 20.05 1.70
54797.803411 23.15 1.70
54798.806092 36.95 2.50
54799.776987 37.05 1.90
54799.864538 42.15 2.50
54800.759086 32.45 2.10
54800.846162 30.15 1.60
54801.753036 27.65 1.50
54801.839649 29.55 1.50
54802.748385 29.85 2.00
54802.843308 27.95 1.60
54803.752610 25.95 1.80
54803.834177 23.35 2.00
54804.755468 22.65 2.50
54804.834245 29.15 1.90
54805.777470 41.45 2.10
54805.850494 48.35 2.40
54806.764734 48.85 1.80
54806.844413 48.05 2.20
54807.728119 38.15 1.80
54807.826352 40.95 1.70
54825.736813 36.05 1.30
54826.739453 38.75 1.40
54827.726165 46.25 1.40
54828.736070 60.45 1.70
54829.735395 50.15 2.00
54830.724394 32.55 1.80
54831.710289 23.25 6.60
54831.728761 19.75 1.90
54832.725234 30.95 3.00
54833.734170 33.65 2.10
54834.753950 44.75 1.50
54847.596797 33.45 1.70
54847.693890 35.25 1.80
54847.756817 35.35 1.50
54848.600709 29.05 1.50
54848.682235 23.65 1.30
54848.759062 20.25 1.60
54849.594019 27.95 1.40
54849.671887 23.05 1.50
54849.749061 23.55 1.90
54850.595162 31.35 1.80
54850.664176 32.25 1.60
54850.750354 35.15 1.40
54851.592681 35.85 1.70
54851.666440 37.05 1.80
54851.747584 36.75 1.80
54852.598578 33.65 1.80
54852.673969 30.55 1.50
54852.741247 36.25 1.60
54853.573953 40.55 1.50
54853.698128 44.85 1.50
54853.746135 45.25 1.60
54854.580252 50.65 1.70
54854.657842 51.85 1.60
54854.741682 44.55 1.90
54855.675459 44.75 1.40
54856.652751 38.65 1.30
54857.646823 53.55 1.30
54858.663463 57.45 1.90
54859.649883 45.75 2.20
54860.752152 35.15 6.00
54861.684451 43.55 1.40
54862.662718 34.25 2.10
54863.655034 22.85 1.50
54864.630186 19.15 5.60
54865.597778 31.55 2.70
54865.715909 27.35 2.00
54866.660215 21.25 2.70
54867.560377 7.75 2.20
54867.670638 9.05 2.20
54868.591829 11.95 2.40
54868.687553 13.95 2.80
54869.600213 29.25 1.60
54869.688032 33.45 1.70
54870.601258 31.25 1.60
54870.715742 31.65 2.10
54871.537976 36.75 1.50
54872.564758 47.45 2.30
54872.649638 42.45 1.70
54872.727318 37.25 2.30
54873.537549 39.45 2.20
54873.650147 37.35 1.50
54873.720073 34.65 2.00
54879.536551 46.15 2.00
54879.676148 43.45 2.20
54880.613748 49.85 2.20
54881.591054 48.25 1.70
54882.525655 43.15 1.60
54882.656016 47.85 1.60
54883.588012 48.75 1.50
54884.526256 42.95 1.60
54884.646409 34.75 2.00
55939.699480 24.76 2.33
55939.760240 22.59 2.12
55940.574990 27.28 2.51
55940.689290 22.78 2.71
55940.794560 28.60 2.15
55941.564900 27.39 2.41
55941.668700 32.77 1.84
55941.770240 33.35 1.99
55942.561390 20.76 2.63
55942.676960 20.71 1.67
55942.784120 21.50 2.47
55943.560900 14.65 2.39
55943.665700 12.79 1.99
55943.768670 19.42 1.77
55944.566710 21.35 2.13
55944.669110 19.44 2.16
55944.773700 24.11 1.85
55945.560980 26.77 2.38
55945.667360 24.98 2.13
55945.772080 21.43 2.21
55946.557420 19.11 2.22
55946.663110 17.54 1.76
55946.768400 20.12 2.09
55947.545310 21.52 2.23
55947.661740 25.29 1.79
55947.762810 30.06 1.91
55948.557060 33.46 2.17
55948.663640 41.37 1.63
55948.767180 41.21 1.75
55949.554110 30.76 2.47
55949.655550 35.21 1.87
55949.758240 37.50 2.45
55950.562270 20.46 1.68
55950.668160 20.35 1.75
55950.768590 15.41 1.77
55951.548840 18.36 1.82
55951.655760 16.68 2.07
55951.757040 16.64 2.46
55952.565230 24.08 2.04
55952.770210 25.04 2.25
55953.555970 18.40 1.82
55953.684680 19.20 1.95
55953.763000 26.67 2.68
55954.554040 22.35 1.81
55954.637920 27.40 1.68
55955.558470 33.07 1.89
55955.638940 37.76 1.65
55955.732790 39.21 1.79
55956.624630 42.56 1.56
55956.728970 36.36 1.92
55957.643720 26.09 2.06
55958.566840 25.36 1.92
55958.658500 28.37 2.01
55958.717290 28.19 2.01
55959.553610 27.11 2.05
55959.641030 32.62 2.01
55959.722140 32.38 2.10
55960.549860 34.38 1.80
55960.642220 30.97 1.82
55960.718080 27.72 2.02
55961.571330 19.76 1.90
55961.711430 18.73 1.77
55962.542030 27.28 2.39
55962.633400 30.51 2.09
55962.723130 20.15 2.49
55963.558460 31.57 1.87
55963.648530 29.62 1.63
55963.704380 29.62 1.84
55964.558090 29.20 1.95
55964.625320 25.22 2.24
55964.703600 18.71 2.72
