# https://www.aanda.org/articles/aa/abs/2003/42/aa2924/aa2924.html
# bjd	rv	error
  2450509.5887          15673.00                          9.00
  2450510.6030          15665.00                         10.00
  2450510.6148          15672.00                         11.00
  2450511.5282          15678.00                          9.00
  2450511.5421          15664.00                          9.00
  2450533.4873          15652.00                          9.00
  2450533.5026          15644.00                         10.00
  2450556.4428          15637.00                         11.00
  2450556.4552          15653.00                         10.00
  2450624.3549          15630.00                         14.00
  2450624.3676          15632.00                         11.00
  2450822.6939          15557.00                          8.00
  2450861.6277          15548.00                         11.00
  2450861.6402          15533.00                         11.00
  2450889.4994          15539.00                          8.00
  2450889.5120          15554.00                          9.00
  2450912.3976          15521.00                         11.00
  2450943.4448          15534.00                          8.00
  2451234.6137          15468.00                         10.00
  2451299.4403          15459.00                          8.00
  2451325.3851          15459.00                          9.00
  2451542.6887          15416.00                         10.00
  2451587.6202          15418.00                         12.00
  2451621.5180          15404.00                         11.00
  2451655.4568          15411.00                          8.00
  2451689.4130          15416.00                          9.00
  2451906.6741          15661.00                         12.00
  2451951.6681          15717.00                         10.00
  2451955.5814          15708.00                         10.00
  2451974.5508          15693.00                         12.00
  2451977.5641          15679.00                         13.00
  2451977.5765          15684.00                         14.00
  2452253.7175          15614.00                         13.00
  2452308.6978          15614.00                         12.00
  2452355.5232          15585.00                         14.00
  2452388.4690          15576.00                         11.00
  2452677.6328          15526.00                         14.00
  2452719.4746          15474.00                         10.00
  2452751.4288          15452.00                         14.00
  2452752.4298          15487.00                         11.00
