# http://iopscience.iop.org/article/10.1086/504701
# bjd	rv	error
  2450831.983877               38.                           16.
  2451303.785231             -67.7                           9.6
  2451304.748009             -42.3                           9.4
  2451534.093623              -92.                           11.
  2451628.816817            -109.9                           9.6
  2451915.095602             132.4                           9.1
  2451916.070312             144.6                           9.3
  2451998.900466              188.                           12.
  2451999.870710              178.                           11.
  2452000.917369              173.                           15.
  2452033.833183              166.                           10.
  2452040.835394             166.4                           9.2
  2452293.062319               44.                           16.
  2452294.055048               54.                           12.
  2452295.022224               62.                           12.
