# bjd           rv          error   instrument
2450509.5887    15673.00    9.00    1
2450510.6030    15665.00    10.00   1
2450510.6148    15672.00    11.00   1
2450511.5282    15678.00    9.00    1
2450511.5421    15664.00    9.00    1
2450533.4873    15652.00    9.00    1
2450533.5026    15644.00    10.00   1
2450556.4428    15637.00    11.00   1
2450556.4552    15653.00    10.00   1
2450624.3549    15630.00    14.00   1
2450624.3676    15632.00    11.00   1
2450822.6939    15557.00    8.00    1
2450861.6277    15548.00    11.00   1
2450861.6402    15533.00    11.00   1
2450889.4994    15539.00    8.00    1
2450889.5120    15554.00    9.00    1
2450912.3976    15521.00    11.00   1
2450943.4448    15534.00    8.00    1
2451234.6137    15468.00    10.00   1
2451299.4403    15459.00    8.00    1
2451325.3851    15459.00    9.00    1
2451542.6887    15416.00    10.00   1
2451587.6202    15418.00    12.00   1
2451621.5180    15404.00    11.00   1
2451655.4568    15411.00    8.00    1
2451689.4130    15416.00    9.00    1
2451906.6741    15661.00    12.00   1
2451951.6681    15717.00    10.00   1
2451955.5814    15708.00    10.00   1
2451974.5508    15693.00    12.00   1
2451977.5641    15679.00    13.00   1
2451977.5765    15684.00    14.00   1
2452253.7175    15614.00    13.00   1
2452308.6978    15614.00    12.00   1
2452355.5232    15585.00    14.00   1
2452388.4690    15576.00    11.00   1
2452677.6328    15526.00    14.00   1
2452719.4746    15474.00    10.00   1
2452751.4288    15452.00    14.00   1
2452752.4298    15487.00    11.00   1
2453351.00010   -86.7       10.2    2
2453392.87552   -19.4       11.1    2
2453396.02801   -18.2       10.0    2
2453399.86570   -0.6        11.5    2
2453422.81038   35.5        8.9     2
2453423.95949   38.5        9.9     2
2453424.95405   30.2        8.4     2
2453429.93417   43.4        8.3     2
2453436.93141   41.8        8.3     2
2453439.93691   44.2        9.3     2
2453440.93473   46.8        10.0    2
2453448.72404   54.7        8.7     2
2453449.71116   60.8        9.4     2
2453450.72302   50.1        8.7     2
2453451.72210   49.4        8.3     2
2453452.88054   66.6        8.6     2
2453454.86997   56.3        8.8     2
2453455.86893   64.1        8.8     2
2453457.70319   60.4        8.6     2
2453480.62813   72.9        10.0    2
2453487.78674   69.1        9.0     2
2453498.76669   82.5        9.9     2
2453543.64221   92.8        8.7     2
2453736.92178   -13.3       10.6    2
2453736.92786   -9.9        9.9     2
2453743.93096   1.6         11.4    2
2453744.90904   -12.4       9.7     2
2453745.89603   -11.5       9.8     2
2453753.89366   -17.2       9.3     2
2453755.88492   -24.8       9.0     2
2453758.87460   -32.4       9.9     2
2453765.02009   -25.5       11.8    2
2453779.82267   -24.6       10.3    2
2453796.76996   -34.1       8.4     2
2453866.75798   -41.3       10.2    2
2453868.73636   -39.5       9.5     2
2453877.71039   -35.1       8.4     2
2453891.67012   -40.6       8.4     2
2454090.96158   -100.9      8.1     2
2454110.90994   -106.5      8.8     2
2454122.04519   -118.5      9.6     2
2454161.76867   -124.4      9.8     2
2454191.69138   -124.3      8.6     2
2452116.61921   46.4        11.5    3
2452307.00335   16.9        9.8     3
2452328.89167   -32.1       11.8    3
2452357.80730   -40.7       9.6     3
2452743.85538   -129.6      9.1     3
2453465.74189   55.7        10.4    3
2453504.65833   73.1        9.8     3
2453564.63133   73.7        10.5    3
2453566.62685   84.6        10.8    3
2453808.85919   -23.7       10.3    3
2453842.77638   -24.6       10.9    3
2453861.78041   -35.8       10.2    3
2450831.983877  38.         16.     4
2451303.785231  -67.7       9.6     4
2451304.748009  -42.3       9.4     4
2451534.093623  -92.        11.     4
2451628.816817  -109.9      9.6     4
2451915.095602  132.4       9.1     4
2451916.070312  144.6       9.3     4
2451998.900466  188.        12.     4
2451999.870710  178.        11.     4
2452000.917369  173.        15.     4
2452033.833183  166.        10.     4
2452040.835394  166.4       9.2     4
2452293.062319  44.         16.     4
2452294.055048  54.         12.     4
2452295.022224  62.         12.     4
