jdb	vrad	svrad
---	----	-----
2454527.543878 26.25 1.50
2454530.604318 17.65 1.50
2454550.503296 41.65 2.10
2454775.819119 32.55 2.20
2454776.758450 29.25 2.80
2454777.761675 26.15 2.00
2454778.754586 17.85 1.60
2454779.750679 19.45 2.20
2454780.754792 24.95 2.60
2454789.829872 32.25 1.60
2454790.802989 35.85 2.10
2454791.810991 43.45 1.90
2454792.809988 37.75 1.80
2454793.827734 29.95 1.80
2454794.800626 34.55 1.70
2454795.809029 27.95 2.20
2454796.836494 20.05 1.70
2454797.803411 23.15 1.70
2454798.806092 36.95 2.50
2454799.776987 37.05 1.90
2454799.864538 42.15 2.50
2454800.759086 32.45 2.10
2454800.846162 30.15 1.60
2454801.753036 27.65 1.50
2454801.839649 29.55 1.50
2454802.748385 29.85 2.00
2454802.843308 27.95 1.60
2454803.752610 25.95 1.80
2454803.834177 23.35 2.00
2454804.755468 22.65 2.50
2454804.834245 29.15 1.90
2454805.777470 41.45 2.10
2454805.850494 48.35 2.40
2454806.764734 48.85 1.80
2454806.844413 48.05 2.20
2454807.728119 38.15 1.80
2454807.826352 40.95 1.70
2454825.736813 36.05 1.30
2454826.739453 38.75 1.40
2454827.726165 46.25 1.40
2454828.736070 60.45 1.70
2454829.735395 50.15 2.00
2454830.724394 32.55 1.80
2454831.710289 23.25 6.60
2454831.728761 19.75 1.90
2454832.725234 30.95 3.00
2454833.734170 33.65 2.10
2454834.753950 44.75 1.50
2454847.596797 33.45 1.70
2454847.693890 35.25 1.80
2454847.756817 35.35 1.50
2454848.600709 29.05 1.50
2454848.682235 23.65 1.30
2454848.759062 20.25 1.60
2454849.594019 27.95 1.40
2454849.671887 23.05 1.50
2454849.749061 23.55 1.90
2454850.595162 31.35 1.80
2454850.664176 32.25 1.60
2454850.750354 35.15 1.40
2454851.592681 35.85 1.70
2454851.666440 37.05 1.80
2454851.747584 36.75 1.80
2454852.598578 33.65 1.80
2454852.673969 30.55 1.50
2454852.741247 36.25 1.60
2454853.573953 40.55 1.50
2454853.698128 44.85 1.50
2454853.746135 45.25 1.60
2454854.580252 50.65 1.70
2454854.657842 51.85 1.60
2454854.741682 44.55 1.90
2454855.675459 44.75 1.40
2454856.652751 38.65 1.30
2454857.646823 53.55 1.30
2454858.663463 57.45 1.90
2454859.649883 45.75 2.20
2454860.752152 35.15 6.00
2454861.684451 43.55 1.40
2454862.662718 34.25 2.10
2454863.655034 22.85 1.50
2454864.630186 19.15 5.60
2454865.597778 31.55 2.70
2454865.715909 27.35 2.00
2454866.660215 21.25 2.70
2454867.560377 7.75 2.20
2454867.670638 9.05 2.20
2454868.591829 11.95 2.40
2454868.687553 13.95 2.80
2454869.600213 29.25 1.60
2454869.688032 33.45 1.70
2454870.601258 31.25 1.60
2454870.715742 31.65 2.10
2454871.537976 36.75 1.50
2454872.564758 47.45 2.30
2454872.649638 42.45 1.70
2454872.727318 37.25 2.30
2454873.537549 39.45 2.20
2454873.650147 37.35 1.50
2454873.720073 34.65 2.00
2454879.536551 46.15 2.00
2454879.676148 43.45 2.20
2454880.613748 49.85 2.20
2454881.591054 48.25 1.70
2454882.525655 43.15 1.60
2454882.656016 47.85 1.60
2454883.588012 48.75 1.50
2454884.526256 42.95 1.60
2454884.646409 34.75 2.00
2455939.699480 24.76 2.33
2455939.760240 22.59 2.12
2455940.574990 27.28 2.51
2455940.689290 22.78 2.71
2455940.794560 28.60 2.15
2455941.564900 27.39 2.41
2455941.668700 32.77 1.84
2455941.770240 33.35 1.99
2455942.561390 20.76 2.63
2455942.676960 20.71 1.67
2455942.784120 21.50 2.47
2455943.560900 14.65 2.39
2455943.665700 12.79 1.99
2455943.768670 19.42 1.77
2455944.566710 21.35 2.13
2455944.669110 19.44 2.16
2455944.773700 24.11 1.85
2455945.560980 26.77 2.38
2455945.667360 24.98 2.13
2455945.772080 21.43 2.21
2455946.557420 19.11 2.22
2455946.663110 17.54 1.76
2455946.768400 20.12 2.09
2455947.545310 21.52 2.23
2455947.661740 25.29 1.79
2455947.762810 30.06 1.91
2455948.557060 33.46 2.17
2455948.663640 41.37 1.63
2455948.767180 41.21 1.75
2455949.554110 30.76 2.47
2455949.655550 35.21 1.87
2455949.758240 37.50 2.45
2455950.562270 20.46 1.68
2455950.668160 20.35 1.75
2455950.768590 15.41 1.77
2455951.548840 18.36 1.82
2455951.655760 16.68 2.07
2455951.757040 16.64 2.46
2455952.565230 24.08 2.04
2455952.770210 25.04 2.25
2455953.555970 18.40 1.82
2455953.684680 19.20 1.95
2455953.763000 26.67 2.68
2455954.554040 22.35 1.81
2455954.637920 27.40 1.68
2455955.558470 33.07 1.89
2455955.638940 37.76 1.65
2455955.732790 39.21 1.79
2455956.624630 42.56 1.56
2455956.728970 36.36 1.92
2455957.643720 26.09 2.06
2455958.566840 25.36 1.92
2455958.658500 28.37 2.01
2455958.717290 28.19 2.01
2455959.553610 27.11 2.05
2455959.641030 32.62 2.01
2455959.722140 32.38 2.10
2455960.549860 34.38 1.80
2455960.642220 30.97 1.82
2455960.718080 27.72 2.02
2455961.571330 19.76 1.90
2455961.711430 18.73 1.77
2455962.542030 27.28 2.39
2455962.633400 30.51 2.09
2455962.723130 20.15 2.49
2455963.558460 31.57 1.87
2455963.648530 29.62 1.63
2455963.704380 29.62 1.84
2455964.558090 29.20 1.95
2455964.625320 25.22 2.24
2455964.703600 18.71 2.72
