bjd	vrad	svrad
---	----	-----
55272.676 10.514  0.693
55350.324 12.034  0.673
55440.933 16.327  0.776
55505.230 17.062  0.674
55524.208  6.778  0.824
55594.166 10.575  0.816
55630.042 11.470  0.809
55689.654  9.061  0.631
55725.699 11.714  0.883
55844.153  7.176  0.751
55903.474 23.595  0.870
55925.972 15.220  0.660
55928.604 12.754  0.778
55974.565  8.539  0.890
56038.157  6.442  0.900
56083.123 35.995  0.607
56108.753 12.067  0.744
56151.842 14.298  0.687
56199.872  7.886  0.619
56224.809  6.802  0.771
56230.054  6.971  0.602
56283.630 11.832  0.783
56319.529  6.564  0.861
56508.860 10.607  0.865
56539.983 11.184  0.886
56553.789  8.323  0.822
56569.263 15.815  0.655
56570.721 12.632  0.730
56572.621 12.385  0.866
56592.992 14.850  0.677
56595.259 15.537  0.733
56702.895  9.573  0.785
56705.160  8.152  0.631
56802.164  6.982  0.747
56963.606  7.837  0.613
57011.652 14.456  0.693
57015.318 16.137  0.826
57021.951  9.395  0.815
57078.716 15.411  0.882
57236.075 15.216  0.833
57237.679 14.784  0.665
57300.183 14.983  0.871
57324.851  8.348  0.766
57388.535  9.284  0.853
57421.459 10.006  0.877
57433.275 16.113  0.849
57434.642 15.315  0.718
57441.248  9.492  0.779
57547.030  7.508  0.730
57619.438 14.292  0.808
57641.416  9.110  0.745
57647.849  9.061  0.638
57842.947 11.411  0.793
57863.455  8.193  0.661
57997.323  6.945  0.823
58015.901 11.199  0.632
58049.056  0.061  0.602
58068.171 12.496  0.700
58073.475 15.877  0.891
58171.325 15.611  0.810
58172.467 16.080  0.724
58210.063  9.889  0.636
58214.908  8.997  0.618
58354.334 11.016  0.818
58359.041 14.333  0.872
58414.233  7.264  0.605
58436.142  9.713  0.775
58486.104 14.140  0.819
