bjd	vrad	svrad
---	----	-----
55397.319  9.896  0.848
55405.858 10.780  0.862
55482.011 11.705  0.643
55526.476 12.651  0.684
55581.202 10.448  0.758
55634.493 10.161  0.669
55666.354  9.428  0.601
55861.604 11.398  0.621
55876.716  9.217  0.527
55965.003  9.429  0.525
56010.956  9.905  0.498
56050.537  9.489  0.615
56071.753 11.696  0.883
56169.536 10.731  0.804
56174.938  9.853  0.859
56176.142 11.150  0.873
56279.015  9.721  0.845
56286.926 11.246  0.849
56305.720 10.929  0.608
56336.177  9.341  0.672
56382.869  9.744  0.680
56406.589 10.254  0.714
56468.693  9.148  0.744
56536.596 11.010  0.696
56550.590 10.008  0.731
56617.454 10.138  0.767
56627.135  9.780  0.718
56691.852 10.476  0.773
56753.685 11.081  0.713
56820.279 11.280  0.661
57148.812 12.121  0.709
57153.303 12.448  0.811
57219.167 11.884  0.821
57233.344 11.132  0.805
57346.157 12.279  0.630
57429.345 11.412  0.657
57456.330 12.384  0.755
57547.898 12.409  0.857
57601.599 12.606  0.610
57624.212 12.796  0.658
57666.135 12.234  0.849
57678.913 11.563  0.830
57822.142 13.317  0.758
58092.826 16.056  1.484
58238.623 14.233  1.242
58505.283 16.784  1.271
